"YEAR","JURISDICTION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2024,"NT","26-39","Speed Fines","Auto camera enforcement",380,0,0
2024,"NT","26-39","Speed Fines","Auto camera enforcement",1254,0,0
2024,"NT","26-39","Speed Fines","Other",0,1,3
2024,"NT","26-39","Speed Fines","Manual enforcement",46,0,0
2024,"NT","26-39","Unlicensed Driving","Manual enforcement",6,12,56
2024,"NT","40-64","Mobile Phone Use","Manual enforcement",1,0,0
2024,"NT","40-64","Non Wearing Seatbelts","Manual enforcement",13,0,7
2024,"NT","40-64","Speed Fines","Auto camera enforcement",511,0,0
2024,"NT","40-64","Speed Fines","Auto camera enforcement",1575,0,0
2024,"NT","40-64","Speed Fines","Other",0,0,1
2024,"NT","40-64","Speed Fines","Manual enforcement",45,0,0
2024,"NT","40-64","Unlicensed Driving","Manual enforcement",7,4,29
2024,"NT","65 and over","Non Wearing Seatbelts","Manual enforcement",1,0,0
2024,"NT","65 and over","Speed Fines","Auto camera enforcement",83,0,0
2024,"NT","65 and over","Speed Fines","Auto camera enforcement",381,0,0
2024,"NT","65 and over","Speed Fines","Other",0,0,1
2024,"NT","65 and over","Speed Fines","Manual enforcement",5,0,0
2024,"NT","Unknown","Speed Fines","Auto camera enforcement",25,0,0
2024,"NT","Unknown","Speed Fines","Auto camera enforcement",112,0,0
2024,"QLD","0-16","Mobile Phone Use","Auto camera enforcement",162,0,0
2024,"QLD","0-16","Mobile Phone Use","Manual enforcement",2,0,0
2024,"QLD","0-16","Non Wearing Seatbelts","Auto camera enforcement",42,0,0
2024,"QLD","0-16","Speed Fines","Auto camera enforcement",602,0,0
2024,"QLD","0-16","Speed Fines","Auto camera enforcement",748,0,0
2024,"QLD","0-16","Speed Fines","Manual enforcement",4,0,0
2024,"QLD","0-16","Unlicensed Driving","Manual enforcement",59,0,0
2024,"QLD","17-25","Mobile Phone Use","Auto camera enforcement",864,0,0
2024,"QLD","17-25","Mobile Phone Use","Manual enforcement",64,0,0
2024,"QLD","17-25","Non Wearing Seatbelts","Auto camera enforcement",386,0,0
2024,"QLD","17-25","Non Wearing Seatbelts","Manual enforcement",99,0,0
2024,"QLD","17-25","Speed Fines","Auto camera enforcement",2530,0,0
2024,"QLD","17-25","Speed Fines","Auto camera enforcement",5118,0,0
2024,"QLD","17-25","Speed Fines","Manual enforcement",1991,0,0
2024,"QLD","17-25","Unlicensed Driving","Manual enforcement",622,0,0
2024,"QLD","26-39","Mobile Phone Use","Auto camera enforcement",2545,0,0
2024,"QLD","26-39","Mobile Phone Use","Manual enforcement",105,0,0
2024,"QLD","26-39","Non Wearing Seatbelts","Auto camera enforcement",1150,0,0
2024,"QLD","26-39","Non Wearing Seatbelts","Manual enforcement",116,0,0
2024,"QLD","26-39","Speed Fines","Auto camera enforcement",6221,0,0
2024,"QLD","26-39","Speed Fines","Auto camera enforcement",10612,0,0
2024,"QLD","26-39","Speed Fines","Manual enforcement",2825,0,0
2024,"QLD","26-39","Unlicensed Driving","Manual enforcement",1013,0,0
2024,"QLD","40-64","Mobile Phone Use","Auto camera enforcement",2472,0,0
2024,"QLD","40-64","Mobile Phone Use","Manual enforcement",53,0,0
2024,"QLD","40-64","Non Wearing Seatbelts","Auto camera enforcement",1157,0,0
2024,"QLD","40-64","Non Wearing Seatbelts","Manual enforcement",93,0,0
2024,"QLD","40-64","Speed Fines","Auto camera enforcement",9251,0,0
2024,"QLD","40-64","Speed Fines","Auto camera enforcement",15185,0,0
2024,"QLD","40-64","Speed Fines","Manual enforcement",3245,0,0
2024,"QLD","40-64","Unlicensed Driving","Manual enforcement",578,0,0
2024,"QLD","65 and over","Mobile Phone Use","Auto camera enforcement",318,0,0
2024,"QLD","65 and over","Mobile Phone Use","Manual enforcement",7,0,0
2024,"QLD","65 and over","Non Wearing Seatbelts","Auto camera enforcement",247,0,0
2024,"QLD","65 and over","Non Wearing Seatbelts","Manual enforcement",14,0,0
2024,"QLD","65 and over","Speed Fines","Auto camera enforcement",2350,0,0
2024,"QLD","65 and over","Speed Fines","Auto camera enforcement",3861,0,0
2024,"QLD","65 and over","Speed Fines","Manual enforcement",636,0,0
2024,"QLD","65 and over","Unlicensed Driving","Manual enforcement",30,0,0
2024,"QLD","Unknown","Mobile Phone Use","Auto camera enforcement",30,0,0
2024,"QLD","Unknown","Non Wearing Seatbelts","Auto camera enforcement",19,0,0
2024,"QLD","Unknown","Speed Fines","Auto camera enforcement",91,0,0
2024,"QLD","Unknown","Speed Fines","Auto camera enforcement",131,0,0
2024,"QLD","Unknown","Speed Fines","Manual enforcement",2,0,0
2024,"QLD","Unknown","Unlicensed Driving","Manual enforcement",1,0,0
2024,"SA","0-16","Non Wearing Seatbelts","Manual enforcement",1,0,0
2024,"SA","17-25","Mobile Phone Use","Manual enforcement",1,0,0
2024,"SA","17-25","Non Wearing Seatbelts","Manual enforcement",7,0,0
2024,"SA","17-25","Speed Fines","Auto camera enforcement",47,0,0
2024,"SA","17-25","Speed Fines","Auto camera enforcement",150,0,0
2024,"SA","17-25","Speed Fines","Manual enforcement",165,0,1
2024,"SA","26-39","Mobile Phone Use","Manual enforcement",1,0,0
2024,"SA","26-39","Non Wearing Seatbelts","Manual enforcement",13,0,0
2024,"SA","26-39","Speed Fines","Auto camera enforcement",95,0,0
2024,"SA","26-39","Speed Fines","Auto camera enforcement",408,0,0
2024,"SA","26-39","Speed Fines","Manual enforcement",374,0,6
2024,"SA","40-64","Mobile Phone Use","Manual enforcement",2,0,0
2024,"SA","40-64","Non Wearing Seatbelts","Manual enforcement",21,0,0
2024,"SA","40-64","Speed Fines","Auto camera enforcement",123,0,0
2024,"SA","40-64","Speed Fines","Auto camera enforcement",744,0,0
2024,"SA","40-64","Speed Fines","Manual enforcement",443,0,0
2024,"SA","65 and over","Non Wearing Seatbelts","Manual enforcement",7,0,0
2024,"SA","65 and over","Speed Fines","Auto camera enforcement",46,0,0
2024,"SA","65 and over","Speed Fines","Auto camera enforcement",310,0,0
2024,"SA","65 and over","Speed Fines","Manual enforcement",139,0,0
2024,"SA","65 and over","Unlicensed Driving","Manual enforcement",4,0,0
2024,"SA","Unknown","Speed Fines","Auto camera enforcement",15,0,0
2024,"SA","Unknown","Speed Fines","Auto camera enforcement",24,0,0
2024,"SA","Unknown","Speed Fines","Manual enforcement",1,0,0
2024,"SA","Unknown","Unlicensed Driving","Manual enforcement",64,0,0
2024,"SA","0-16","Non Wearing Seatbelts","Manual enforcement",2,0,0
2024,"SA","0-16","Speed Fines","Auto camera enforcement",1,0,0
2024,"SA","0-16","Speed Fines","Auto camera enforcement",1,0,0
2024,"SA","17-25","Mobile Phone Use","Manual enforcement",32,0,0
2024,"SA","17-25","Non Wearing Seatbelts","Manual enforcement",30,0,0
2024,"SA","17-25","Speed Fines","Auto camera enforcement",399,0,0
2024,"SA","17-25","Speed Fines","Auto camera enforcement",549,0,0
2024,"SA","17-25","Speed Fines","Manual enforcement",228,3,6
2024,"SA","26-39","Mobile Phone Use","Manual enforcement",55,0,0
2024,"SA","26-39","Non Wearing Seatbelts","Manual enforcement",32,0,0
2024,"SA","26-39","Speed Fines","Auto camera enforcement",998,0,0
2024,"SA","26-39","Speed Fines","Auto camera enforcement",1369,0,0
2024,"SA","26-39","Speed Fines","Manual enforcement",333,2,3
2024,"SA","40-64","Mobile Phone Use","Manual enforcement",42,0,0
2024,"SA","40-64","Non Wearing Seatbelts","Manual enforcement",42,0,0
2024,"SA","40-64","Speed Fines","Auto camera enforcement",2158,0,0
2024,"SA","40-64","Speed Fines","Auto camera enforcement",2301,0,0
2024,"SA","40-64","Speed Fines","Manual enforcement",392,1,2
2024,"SA","65 and over","Mobile Phone Use","Manual enforcement",6,0,0
2024,"SA","65 and over","Non Wearing Seatbelts","Manual enforcement",24,0,0
2024,"SA","65 and over","Speed Fines","Auto camera enforcement",918,0,0
2024,"SA","65 and over","Speed Fines","Auto camera enforcement",721,0,0
2024,"SA","65 and over","Speed Fines","Manual enforcement",95,0,0
2024,"SA","65 and over","Unlicensed Driving","Manual enforcement",12,0,0
2024,"SA","Unknown","Speed Fines","Auto camera enforcement",126,0,0
2024,"SA","Unknown","Speed Fines","Auto camera enforcement",115,0,0
2024,"SA","Unknown","Speed Fines","Manual enforcement",1,0,0
2024,"SA","Unknown","Unlicensed Driving","Manual enforcement",352,0,0
